ù?ù,ùùù¯ù?ùù,ùùù?ùù,ùùùù?ùù,ùù‚?ùù,ùùù?ùù,?ùùùù¸
2024-03-14,"36,728.6",438.12,17280,138.06,3153.761,"57,738.6"
2024-03-15,"7,598.9",305.1,950.4,252.54,1770.326,"10,877.2"
2024-03-16,"13,322.9",570.6,6537.6,2481.84,5427.412,"28,340.3"
2024-03-17,"130,537.4",7217.82,201657.6,13216.86,55883.62,"408,513.3"
2024-03-18,"72,446.4",1985.4,62553.6,1963.8,17153.19,"156,102.4"
2024-03-19,"88,240.3",5402.16,259401.6,9877.32,48352.22,"411,273.6"
2024-03-20,"142,562.9",7218.18,404928,6772.86,91376.56,"652,858.5"
2024-03-21,"30,541.0",2847.6,80582.4,3399.12,25804.31,"143,174.4"
2024-03-22,"114,989.8",5036.22,275731.2,7724.34,31938.55,"435,420.1"
2024-03-23,"39,899.5",1066.14,37267.2,1805.04,9406.389,"89,444.3"
2024-03-24,"22,481.3",8734.86,195408,138.78,60493.06,"287,256.0"
2024-03-25,"35,689.0",8361.9,228124.8,634.86,48963.85,"321,774.4"
2024-03-26,"94,812.5",4902.66,187200,5207.22,49540.76,"341,663.1"
2024-03-27,"6,300.0",1051.38,50227.2,1610.64,11490.05,"70,679.3"
2024-03-28,"154,009.4",6427.26,230918.4,5010.3,46026.77,"442,392.1"
2024-03-29,"61,344.0",5463.9,141638.4,4235.76,30807.99,"243,490.1"
2024-03-30,"22,477.0",2023.2,47750.4,2355.66,17389.75,"91,996.0"
2024-03-31,"19,189.4",644.58,11030.4,1350.18,7508.371,"39,723.0"
